timestamp,pitch,roll,yaw,gyro_temp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,height_tof_mm,height_baro_m,battery_main_voltage,battery_edf_voltage,temperature,humidity,pressure
45462,0.6022981405258179,-1.258575677871704,-0.02190839685499668,2182,-1.0124218463897705,-0.023681640625,0.00634765625,-4.381679534912109,-1.3816794157028198,0.7862595319747925,0,98,1099,2,2564,37,101460
45481,0.6071740984916687,-1.263191819190979,-0.02156488597393036,2181,-1.0097362995147705,-0.022216796875,0.00732421875,-4.312977313995361,-1.2824426889419556,0.8931297659873962,0,98,1100,2,2564,37,101460
45501,0.6215372085571289,-1.2588099241256714,-0.021717557683587074,2181,-1.0094921588897705,-0.02099609375,0.01416015625,-4.343511581420898,-1.2061069011688232,0.9618320465087891,0,98,1100,2,2564,37,101460
45521,0.6196960210800171,-1.2589410543441772,-0.02187022939324379,2181,-1.0060741901397705,-0.026611328125,0.00830078125,-4.3740458488464355,-1.2824426889419556,0.8702290058135986,0,98,1100,2,2564,37,101460
45541,0.6031988859176636,-1.2617357969284058,-0.021984731778502464,2181,-1.0082714557647705,-0.022705078125,0.009765625,-4.396946430206299,-1.305343508720398,0.9770992398262024,0,98,1099,2,2564,37,101460
45561,0.5971739888191223,-1.2571343183517456,-0.02133587747812271,2181,-1.0070507526397705,-0.02392578125,0.001220703125,-4.267175674438477,-1.3206106424331665,0.8167939186096191,0,98,1101,3,2564,37,101460
45581,0.6083139777183533,-1.2478644847869873,-0.021641220897436142,2181,-1.0048534870147705,-0.01953125,0.015380859375,-4.328244209289551,-1.229007601737976,0.8778625726699829,0,98,1099,3,2564,37,101460
45601,0.6034070253372192,-1.2407671213150024,-0.021717557683587074,2181,-1.0065624713897705,-0.020263671875,0.008544921875,-4.343511581420898,-1.229007601737976,1.038167953491211,0,98,1101,3,2564,37,101460
45621,0.6153517961502075,-1.2358951568603516,-0.021374046802520752,2182,-1.0070507526397705,-0.018310546875,0.012939453125,-4.27480936050415,-1.3129770755767822,0.9236640930175781,0,98,1100,3,2564,37,101460
45641,0.6056391596794128,-1.2279503345489502,-0.02183206006884575,2181,-1.0082714557647705,-0.0234375,0.009033203125,-4.366412162780762,-1.1908396482467651,0.9847328066825867,0,98,1101,3,2564,37,101460
45662,0.5860508680343628,-1.23240327835083,-0.021412212401628494,2181,-1.0138866901397705,-0.022705078125,0.00537109375,-4.282442569732666,-1.3587785959243774,0.9389312863349915,0,98,1101,3,2564,37,101460
45681,0.5965133905410767,-1.2566741704940796,-0.021488549187779427,2181,-1.0077831745147705,-0.029541015625,0.01416015625,-4.297709941864014,-1.2595419883728027,0.847328245639801,0,98,1100,3,2564,37,101460
45701,0.577781081199646,-1.254343032836914,-0.021641220897436142,2181,-1.0072948932647705,-0.021484375,0.004638671875,-4.328244209289551,-1.2213740348815918,0.9847328066825867,0,98,1100,3,2564,37,101460
45721,0.5673798322677612,-1.2642571926116943,-0.021793892607092857,2181,-1.0099804401397705,-0.02490234375,0.009765625,-4.358778476715088,-1.2061069011688232,0.9541984796524048,0,98,1100,3,2564,37,101460
45741,0.556157112121582,-1.2696489095687866,-0.021679388359189034,2182,-1.0133984088897705,-0.02294921875,0.003662109375,-4.335877895355225,-1.2748091220855713,1.0305343866348267,0,98,1101,3,2564,37,101460
45761,0.5476934313774109,-1.2659075260162354,-0.02125954069197178,2181,-1.0060741901397705,-0.02392578125,0.0146484375,-4.251908302307129,-1.198473334312439,0.8320610523223877,0,98,1101,3,2564,37,101460
45781,0.5474202036857605,-1.275914192199707,-0.021641220897436142,2181,-1.0094921588897705,-0.0263671875,0.010986328125,-4.328244209289551,-1.3435114622116089,0.8778625726699829,0,98,1103,3,2564,37,101460
45801,0.5343062877655029,-1.2749518156051636,-0.02133587747812271,2181,-1.0092480182647705,-0.02197265625,0.01025390625,-4.267175674438477,-1.3282443284988403,0.8625954389572144,0,98,1104,3,2564,37,101460
45821,0.524080753326416,-1.2741038799285889,-0.021755725145339966,2181,-1.0136425495147705,-0.0234375,0.00830078125,-4.351145267486572,-1.3587785959243774,0.9312977194786072,0,98,1106,3,2564,37,101460
45841,0.5206069946289062,-1.2804770469665527,-0.021488549187779427,2181,-1.0080273151397705,-0.024658203125,0.00634765625,-4.297709941864014,-1.2366411685943604,0.9389312863349915,0,98,1104,3,2564,37,101460
45862,0.5395599007606506,-1.2677202224731445,-0.021145038306713104,2181,-1.0053417682647705,-0.017822265625,0.0166015625,-4.229007720947266,-1.2824426889419556,0.9389312863349915,0,98,1105,3,2564,37,101460
